,precision,recall,f1-score,support
0,0.4925373134328358,0.22,0.30414746543778803,300.0
1,0.47368421052631576,0.1125,0.18181818181818182,80.0
2,0.0,0.0,0.0,52.0
3,0.22641509433962265,0.08163265306122448,0.12000000000000001,147.0
4,0.2,0.033112582781456956,0.05681818181818182,151.0
5,0.46616541353383456,0.2627118644067797,0.33604336043360433,236.0
6,0.41638225255972694,0.3177083333333333,0.3604135893648449,384.0
7,0.5513626834381551,0.42351046698872785,0.4790528233151184,621.0
8,0.39097744360902253,0.203125,0.2673521850899743,256.0
9,0.3269230769230769,0.12781954887218044,0.1837837837837838,133.0
10,0.3867403314917127,0.26119402985074625,0.311804008908686,268.0
11,0.4268292682926829,0.25089605734767023,0.3160270880361174,279.0
12,0.25961538461538464,0.14516129032258066,0.18620689655172415,186.0
13,0.3404255319148936,0.15841584158415842,0.21621621621621623,202.0
14,0.25,0.10638297872340426,0.1492537313432836,94.0
15,0.3076923076923077,0.08695652173913043,0.13559322033898305,92.0
16,0.24,0.049586776859504134,0.0821917808219178,121.0
17,0.29508196721311475,0.11320754716981132,0.16363636363636366,159.0
18,0.18518518518518517,0.07246376811594203,0.10416666666666667,138.0
19,0.21929824561403508,0.11627906976744186,0.1519756838905775,215.0
20,0.4266666666666667,0.19631901840490798,0.2689075630252101,163.0
21,0.3212996389891697,0.2119047619047619,0.25538020086083213,420.0
22,0.28888888888888886,0.08074534161490683,0.1262135922330097,161.0
23,0.34057971014492755,0.18503937007874016,0.23979591836734693,254.0
24,0.2914798206278027,0.17105263157894737,0.2155887230514096,380.0
25,0.2127659574468085,0.08547008547008547,0.12195121951219512,117.0
26,0.38571428571428573,0.2288135593220339,0.2872340425531915,118.0
27,0.21333333333333335,0.16494845360824742,0.186046511627907,97.0
28,0.18803418803418803,0.12429378531073447,0.14965986394557823,177.0
29,0.26666666666666666,0.06666666666666667,0.10666666666666667,120.0
30,0.46153846153846156,0.14814814814814814,0.22429906542056077,81.0
31,0.21505376344086022,0.07905138339920949,0.11560693641618498,253.0
32,0.3181818181818182,0.10852713178294573,0.16184971098265896,129.0
33,0.2153846153846154,0.14,0.1696969696969697,100.0
34,0.32,0.12698412698412698,0.18181818181818182,63.0
35,0.1746031746031746,0.09401709401709402,0.12222222222222223,117.0
36,0.37606837606837606,0.21674876847290642,0.275,203.0
37,0.14285714285714285,0.03875968992248062,0.06097560975609755,129.0
38,0.13793103448275862,0.06611570247933884,0.0893854748603352,121.0
39,0.45,0.3333333333333333,0.3829787234042553,108.0
40,0.3393939393939394,0.19718309859154928,0.24944320712694873,284.0
41,0.13043478260869565,0.04054054054054054,0.061855670103092786,74.0
42,0.1,0.03125,0.047619047619047616,32.0
43,0.4734982332155477,0.36314363143631434,0.41104294478527603,369.0
44,0.24074074074074073,0.08333333333333333,0.1238095238095238,156.0
45,0.08108108108108109,0.04838709677419355,0.060606060606060594,62.0
micro avg,0.3565042467590523,0.1898357533920495,0.2477477477477477,8402.0
macro avg,0.29494591370634465,0.14724871921955734,0.191351192998756,8402.0
weighted avg,0.33700242534069663,0.1898357533920495,0.2377974190717058,8402.0
samples avg,0.2158019530180305,0.13827884317237732,0.13782829492131474,8402.0
