,precision,recall,f1-score,support
target_proc_1036,0.2072192513368984,0.5166666666666667,0.2958015267175573,300.0
target_proc_1048,0.048284625158831,0.475,0.08765859284890426,80.0
target_proc_1215,0.03934010152284264,0.5961538461538461,0.07380952380952381,52.0
target_proc_1285,0.08863920099875156,0.48299319727891155,0.14978902953586495,147.0
target_proc_1287,0.10817941952506596,0.543046357615894,0.18041804180418042,151.0
target_proc_1316,0.14814814814814814,0.4915254237288136,0.22767419038272815,236.0
target_proc_1368,0.24587912087912087,0.4661458333333333,0.32194244604316546,384.0
target_proc_1369,0.41022280471821754,0.5040257648953301,0.45231213872832376,621.0
target_proc_1575,0.15763546798029557,0.5,0.2397003745318352,256.0
target_proc_1634,0.09311224489795919,0.5488721804511278,0.15921483097055616,133.0
target_proc_1709,0.15491183879093198,0.458955223880597,0.23163841807909602,268.0
target_proc_1717,0.16905071521456436,0.4659498207885305,0.2480916030534351,279.0
target_proc_1721,0.12037037037037036,0.489247311827957,0.1932059447983015,186.0
target_proc_17587,0.13878080415045396,0.5297029702970297,0.2199383350462487,202.0
target_proc_17678,0.07116104868913857,0.6063829787234043,0.12737430167597766,94.0
target_proc_1826,0.047619047619047616,0.3804347826086957,0.08464328899637243,92.0
target_proc_189214,0.08047493403693931,0.5041322314049587,0.13879408418657566,121.0
target_proc_189239,0.09342105263157895,0.44654088050314467,0.15451577801958652,159.0
target_proc_1944,0.08560794044665013,0.5,0.1461864406779661,138.0
target_proc_198428,0.1348314606741573,0.5023255813953489,0.2125984251968504,215.0
target_proc_2215,0.12040557667934093,0.5828220858895705,0.1995798319327731,163.0
target_proc_2220,0.25839793281653745,0.47619047619047616,0.3350083752093802,420.0
target_proc_2261,0.0946822308690013,0.453416149068323,0.15665236051502146,161.0
target_proc_2263,0.1626733921815889,0.5078740157480315,0.24641833810888253,254.0
target_proc_2295,0.24639580602883354,0.49473684210526314,0.3289588801399825,380.0
target_proc_2349,0.08014796547472257,0.5555555555555556,0.14008620689655174,117.0
target_proc_2470,0.0807061790668348,0.5423728813559322,0.14050493962678376,118.0
target_proc_2471,0.07188703465982028,0.5773195876288659,0.12785388127853883,97.0
target_proc_2637,0.11924119241192412,0.4971751412429379,0.19234972677595627,177.0
target_proc_310,0.08290155440414508,0.5333333333333333,0.14349775784753363,120.0
target_proc_337,0.056962025316455694,0.5555555555555556,0.10332950631458095,81.0
target_proc_34370,0.17100371747211895,0.5454545454545454,0.26037735849056604,253.0
target_proc_34496,0.07800511508951406,0.4728682170542636,0.13391877058177826,129.0
target_proc_34504,0.06233766233766234,0.48,0.11034482758620688,100.0
target_proc_34506,0.033810143042912875,0.4126984126984127,0.06250000000000001,63.0
target_proc_34544,0.07335907335907337,0.48717948717948717,0.12751677852348994,117.0
target_proc_37225,0.13619167717528374,0.5320197044334976,0.21686746987951808,203.0
target_proc_391410,0.08928571428571429,0.5426356589147286,0.1533406352683461,129.0
target_proc_415338,0.0697084917617237,0.45454545454545453,0.12087912087912087,121.0
target_proc_464825,0.06353240152477764,0.46296296296296297,0.111731843575419,108.0
target_proc_474,0.1744340878828229,0.4612676056338028,0.2531400966183575,284.0
target_proc_482552,0.04986522911051213,0.5,0.09068627450980392,74.0
target_proc_639,0.022031823745410038,0.5625,0.04240282685512368,32.0
target_proc_787,0.24967490247074123,0.5203252032520326,0.3374340949033392,369.0
target_proc_832,0.10479797979797979,0.532051282051282,0.1751054852320675,156.0
target_proc_900,0.043758043758043756,0.5483870967741935,0.08104886769964242,62.0
micro avg,0.11774076351238053,0.5014282313734825,0.19070251674814415,8402.0
macro avg,0.1182410119676839,0.5065075718735238,0.181235686311996,8402.0
weighted avg,0.1642017821204671,0.5014282313734825,0.23324362643931118,8402.0
samples avg,0.11751995891708315,0.38178431437026733,0.15632866702742498,8402.0
