,precision,recall,f1-score,support
target_proc_1036,0.5681818181818182,0.16666666666666666,0.25773195876288657,300.0
target_proc_1048,0.0,0.0,0.0,80.0
target_proc_1215,0.0,0.0,0.0,52.0
target_proc_1285,0.0,0.0,0.0,147.0
target_proc_1287,0.0,0.0,0.0,151.0
target_proc_1316,0.640625,0.17372881355932204,0.2733333333333334,236.0
target_proc_1368,0.5443037974683544,0.22395833333333334,0.3173431734317343,384.0
target_proc_1369,0.6009070294784581,0.42673107890499196,0.4990583804143126,621.0
target_proc_1575,0.6078431372549019,0.12109375,0.2019543973941368,256.0
target_proc_1634,0.55,0.08270676691729323,0.14379084967320263,133.0
target_proc_1709,0.5666666666666667,0.12686567164179105,0.2073170731707317,268.0
target_proc_1717,0.6226415094339622,0.11827956989247312,0.1987951807228916,279.0
target_proc_1721,0.4,0.021505376344086023,0.040816326530612256,186.0
target_proc_17587,0.3888888888888889,0.034653465346534656,0.06363636363636364,202.0
target_proc_17678,0.0,0.0,0.0,94.0
target_proc_1826,0.0,0.0,0.0,92.0
target_proc_189214,0.0,0.0,0.0,121.0
target_proc_189239,0.6,0.03773584905660377,0.07100591715976332,159.0
target_proc_1944,0.0,0.0,0.0,138.0
target_proc_198428,0.1111111111111111,0.004651162790697674,0.008928571428571428,215.0
target_proc_2215,0.8571428571428571,0.03680981595092025,0.07058823529411765,163.0
target_proc_2220,0.4230769230769231,0.02619047619047619,0.04932735426008969,420.0
target_proc_2261,0.6666666666666666,0.024844720496894408,0.04790419161676646,161.0
target_proc_2263,0.5882352941176471,0.07874015748031496,0.1388888888888889,254.0
target_proc_2295,0.42105263157894735,0.021052631578947368,0.040100250626566414,380.0
target_proc_2349,0.0,0.0,0.0,117.0
target_proc_2470,0.4,0.03389830508474576,0.0625,118.0
target_proc_2471,0.3333333333333333,0.020618556701030927,0.03883495145631068,97.0
target_proc_2637,1.0,0.011299435028248588,0.0223463687150838,177.0
target_proc_310,0.6428571428571429,0.075,0.13432835820895522,120.0
target_proc_337,1.0,0.012345679012345678,0.024390243902439022,81.0
target_proc_34370,0.0,0.0,0.0,253.0
target_proc_34496,1.0,0.007751937984496124,0.015384615384615384,129.0
target_proc_34504,0.0,0.0,0.0,100.0
target_proc_34506,0.0,0.0,0.0,63.0
target_proc_34544,0.0,0.0,0.0,117.0
target_proc_37225,0.5588235294117647,0.09359605911330049,0.16033755274261605,203.0
target_proc_391410,0.0,0.0,0.0,129.0
target_proc_415338,0.0,0.0,0.0,121.0
target_proc_464825,0.475,0.17592592592592593,0.25675675675675674,108.0
target_proc_474,0.5666666666666667,0.11971830985915492,0.19767441860465115,284.0
target_proc_482552,0.0,0.0,0.0,74.0
target_proc_639,0.0,0.0,0.0,32.0
target_proc_787,0.6163522012578616,0.26558265582655827,0.3712121212121212,369.0
target_proc_832,0.6,0.038461538461538464,0.07228915662650603,156.0
target_proc_900,0.0,0.0,0.0,62.0
micro avg,0.5685314685314685,0.09676267555343966,0.16537835638730677,8402.0
macro avg,0.3554429609694342,0.056095928459754155,0.08666467369467444,8402.0
weighted avg,0.4350083620993846,0.09676267555343966,0.14037223356884662,8402.0
samples avg,0.19867593453183394,0.06434041200899125,0.08517475252407164,8402.0
